,1,index,x,norm
66,119,66,4.6068211764705875,2408.906882591093
67,132,67,4.67609725490196,2672.064777327935
68,141,68,4.745373333333333,2854.251012145749
69,109,69,4.814649411764705,2206.477732793522
70,127,70,4.883925490196078,2570.8502024291497
71,101,71,4.953201568627451,2044.5344129554655
72,97,72,5.022477647058823,1963.5627530364372
73,94,73,5.091753725490196,1902.834008097166
74,84,74,5.1610298039215685,1700.4048582995952
75,90,75,5.2303058823529405,1821.8623481781376
76,89,76,5.299581960784313,1801.6194331983806
77,78,77,5.368858039215686,1578.9473684210527
78,80,78,5.438134117647058,1619.4331983805669
79,95,79,5.507410196078431,1923.076923076923
80,85,80,5.576686274509803,1720.6477732793524
81,74,81,5.645962352941176,1497.9757085020244
82,69,82,5.715238431372549,1396.761133603239
83,67,83,5.784514509803921,1356.2753036437248
84,57,84,5.853790588235293,1153.8461538461538
85,74,85,5.923066666666666,1497.9757085020244
86,62,86,5.992342745098038,1255.0607287449393
87,65,87,6.061618823529411,1315.7894736842106
88,57,88,6.130894901960784,1153.8461538461538
89,68,89,6.200170980392156,1376.5182186234817
90,49,90,6.269447058823529,991.9028340080972
91,40,91,6.3387231372549016,809.7165991902834
92,48,92,6.4079992156862735,971.6599190283401
93,44,93,6.477275294117646,890.6882591093117
94,32,94,6.546551372549019,647.7732793522267
95,40,95,6.615827450980391,809.7165991902834
96,30,96,6.685103529411764,607.2874493927126
97,44,97,6.754379607843137,890.6882591093117
98,41,98,6.823655686274509,829.9595141700405
99,36,99,6.892931764705882,728.744939271255
100,25,100,6.9622078431372545,506.07287449392715
101,38,101,7.0314839215686264,769.2307692307693
102,34,102,7.100759999999999,688.2591093117409
103,24,103,7.170036078431372,485.82995951417007
104,20,104,7.239312156862744,404.8582995951417
105,36,105,7.308588235294117,728.744939271255
106,27,106,7.37786431372549,546.5587044534414
107,19,107,7.447140392156862,384.61538461538464
108,23,108,7.516416470588235,465.58704453441294
109,29,109,7.585692549019607,587.0445344129555
110,16,110,7.654968627450979,323.88663967611336
111,20,111,7.724244705882352,404.8582995951417
112,23,112,7.793520784313725,465.58704453441294
113,24,113,7.862796862745097,485.82995951417007
114,22,114,7.93207294117647,445.34412955465586
115,28,115,8.001349019607842,566.8016194331984
116,24,116,8.070625098039214,485.82995951417007
117,16,117,8.139901176470586,323.88663967611336
118,25,118,8.20917725490196,506.07287449392715
119,24,119,8.278453333333331,485.82995951417007
120,33,120,8.347729411764703,668.0161943319838
121,10,121,8.417005490196077,202.42914979757086
122,25,122,8.486281568627449,506.07287449392715
123,25,123,8.555557647058821,506.07287449392715
124,19,124,8.624833725490195,384.61538461538464
125,15,125,8.694109803921567,303.6437246963563
126,15,126,8.763385882352939,303.6437246963563
127,19,127,8.832661960784312,384.61538461538464
128,11,128,8.901938039215684,222.67206477732793
129,11,129,8.971214117647056,222.67206477732793
130,14,130,9.04049019607843,283.4008097165992
131,11,131,9.109766274509802,222.67206477732793
132,16,132,9.179042352941174,323.88663967611336
133,17,133,9.248318431372548,344.12955465587044
134,17,134,9.31759450980392,344.12955465587044
135,15,135,9.386870588235292,303.6437246963563
136,10,136,9.456146666666665,202.42914979757086
137,13,137,9.525422745098037,263.1578947368421
138,11,138,9.59469882352941,222.67206477732793
139,7,139,9.663974901960783,141.7004048582996
