,1,index,x
130,14,130,9.04049019607843
131,11,131,9.109766274509802
132,16,132,9.179042352941174
133,17,133,9.248318431372548
134,17,134,9.31759450980392
135,15,135,9.386870588235292
136,10,136,9.456146666666665
137,13,137,9.525422745098037
138,11,138,9.59469882352941
139,7,139,9.663974901960783
140,14,140,9.733250980392155
141,14,141,9.802527058823527
142,14,142,9.8718031372549
143,9,143,9.941079215686273
144,7,144,10.010355294117645
145,7,145,10.079631372549018
146,12,146,10.14890745098039
147,12,147,10.218183529411762
148,13,148,10.287459607843136
149,11,149,10.356735686274508
150,14,150,10.42601176470588
151,12,151,10.495287843137254
152,9,152,10.564563921568626
153,9,153,10.633839999999998
154,11,154,10.703116078431371
155,14,155,10.772392156862743
156,12,156,10.841668235294115
157,6,157,10.910944313725489
158,9,158,10.98022039215686
159,4,159,11.049496470588233
160,11,160,11.118772549019605
161,15,161,11.188048627450979
162,13,162,11.25732470588235
163,10,163,11.326600784313722
164,8,164,11.395876862745096
165,11,165,11.465152941176468
166,6,166,11.53442901960784
167,13,167,11.603705098039214
168,5,168,11.672981176470586
169,8,169,11.742257254901958
170,10,170,11.811533333333331
171,12,171,11.880809411764703
172,9,172,11.950085490196075
173,10,173,12.019361568627449
174,9,174,12.088637647058821
175,3,175,12.157913725490193
176,8,176,12.227189803921567
177,6,177,12.296465882352939
178,8,178,12.36574196078431
179,11,179,12.435018039215684
180,8,180,12.504294117647056
181,4,181,12.573570196078428
182,11,182,12.642846274509802
183,9,183,12.712122352941174
184,7,184,12.781398431372546
185,6,185,12.85067450980392
186,7,186,12.919950588235292
187,4,187,12.989226666666664
188,3,188,13.058502745098037
189,6,189,13.12777882352941
190,12,190,13.197054901960781
191,3,191,13.266330980392155
192,6,192,13.335607058823527
193,7,193,13.404883137254899
194,6,194,13.474159215686273
195,7,195,13.543435294117645
196,2,196,13.612711372549017
197,1,197,13.68198745098039
198,7,198,13.751263529411762
199,4,199,13.820539607843134
200,2,200,13.889815686274508
201,10,201,13.95909176470588
202,1,202,14.028367843137252
203,9,203,14.097643921568626
204,3,204,14.166919999999998
205,4,205,14.23619607843137
206,5,206,14.305472156862743
207,6,207,14.374748235294115
208,9,208,14.444024313725487
209,8,209,14.51330039215686
210,1,210,14.582576470588233
211,9,211,14.651852549019605
212,5,212,14.721128627450978
213,8,213,14.79040470588235
214,3,214,14.859680784313722
215,0,215,14.928956862745096
216,7,216,14.998232941176468
217,3,217,15.06750901960784
218,4,218,15.136785098039214
219,5,219,15.206061176470586
220,5,220,15.275337254901958
221,5,221,15.344613333333331
222,4,222,15.413889411764703
223,4,223,15.483165490196075
224,5,224,15.552441568627449
225,9,225,15.621717647058821
226,9,226,15.690993725490193
227,5,227,15.760269803921565
228,7,228,15.829545882352939
229,2,229,15.89882196078431
230,4,230,15.968098039215683
231,4,231,16.037374117647058
232,3,232,16.10665019607843
233,6,233,16.175926274509802
234,1,234,16.245202352941174
235,2,235,16.31447843137255
236,7,236,16.38375450980392
237,5,237,16.453030588235293
238,3,238,16.522306666666665
239,3,239,16.591582745098037
240,10,240,16.66085882352941
241,4,241,16.730134901960785
242,2,242,16.799410980392157
243,4,243,16.86868705882353
244,6,244,16.9379631372549
245,6,245,17.007239215686273
246,1,246,17.076515294117645
247,4,247,17.14579137254902
248,2,248,17.215067450980392
249,1,249,17.284343529411764
250,5,250,17.353619607843136
251,6,251,17.422895686274508
252,4,252,17.49217176470588
253,2,253,17.561447843137255
254,2,254,17.630723921568627
255,383,255,17.7
