  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
 39.2700 358.9602  213.185  224  3.6850E+00  1.4122E+01
 39.1946 358.8495  213.064  225  3.6703E+00  1.4183E+01
 39.1192 358.7391  212.942  226  3.6555E+00  1.4244E+01
 39.0437 358.6289  212.821  227  3.6406E+00  1.4305E+01
 38.9680 358.5190  212.700  228  3.6263E+00  1.4365E+01
 38.8922 358.4092  212.579  229  3.6128E+00  1.4425E+01
 38.8164 358.2997  212.459  230  3.5992E+00  1.4485E+01
 38.7404 358.1905  212.338  231  3.5856E+00  1.4545E+01
 38.6643 358.0814  212.217  232  3.5720E+00  1.4605E+01
 38.5882 357.9726  212.096  233  3.5584E+00  1.4664E+01
 38.5119 357.8641  211.976  234  3.5451E+00  1.4723E+01
 38.4355 357.7557  211.855  235  3.5315E+00  1.4782E+01
 38.3591 357.6476  211.735  236  3.5179E+00  1.4841E+01
 38.3208 357.5937  211.674  237  3.5112E+00  1.4899E+01
 38.2760 357.5333  211.432  238  3.5067E+00  1.4957E+01
 38.1863 357.4130  211.156  239  3.4936E+00  1.5016E+01
 38.0941 357.2902  211.315  240  3.4721E+00  1.5074E+01
 38.0006 357.1658  221.062  241  3.2819E+00  1.5128E+01
 37.9085 357.0437  244.868  242  2.8717E+00  1.5176E+01
 37.8626 356.9830  259.332  243  2.6419E+00  1.5220E+01
 37.8184 356.9249  274.342  244  2.4179E+00  1.5260E+01
 37.7295 356.8082  306.561  245  1.9872E+00  1.5294E+01
 37.6859 356.7466  323.857  246  1.7844E+00  1.5323E+01
 37.6878 356.7405  323.898  247  1.7841E+00  1.5353E+01
 37.6897 356.7344  323.939  248  1.7838E+00  1.5383E+01
 37.6916 356.7282  323.980  249  1.7835E+00  1.5413E+01
 37.6936 356.7221  324.022  250  1.7832E+00  1.5442E+01
 37.6955 356.7160  324.063  251  1.7829E+00  1.5472E+01
 37.6974 356.7099  324.104  252  1.7826E+00  1.5502E+01
 37.6993 356.7038  324.145  253  1.7823E+00  1.5531E+01
 37.7012 356.6976  324.186  254  1.7820E+00  1.5561E+01
 37.7032 356.6915  324.227  255  1.7817E+00  1.5591E+01
 37.7051 356.6854  324.268  256  1.7814E+00  1.5620E+01
 37.7070 356.6793  324.309  257  1.7811E+00  1.5650E+01
 37.7089 356.6732  324.350  258  1.7808E+00  1.5680E+01
 37.7108 356.6670  324.391  259  1.7806E+00  1.5709E+01
 37.7128 356.6609  324.433  260  1.7803E+00  1.5739E+01
 37.7147 356.6548  324.474  261  1.7800E+00  1.5769E+01
 37.7166 356.6487  324.515  262  1.7797E+00  1.5798E+01
 37.7185 356.6425  324.556  263  1.7794E+00  1.5828E+01
