,1,index,x
127,19,127,10.378499999999997
128,11,128,10.459899999999998
129,11,129,10.541299999999998
130,14,130,10.622699999999998
131,11,131,10.704099999999997
132,16,132,10.785499999999997
133,17,133,10.866899999999998
134,17,134,10.948299999999998
135,15,135,11.029699999999998
136,10,136,11.111099999999997
137,13,137,11.192499999999997
138,11,138,11.273899999999998
139,7,139,11.355299999999998
140,14,140,11.436699999999997
141,14,141,11.518099999999997
142,14,142,11.599499999999997
143,9,143,11.680899999999998
144,7,144,11.762299999999998
145,7,145,11.843699999999997
146,12,146,11.925099999999997
147,12,147,12.006499999999997
148,13,148,12.087899999999998
149,11,149,12.169299999999998
150,14,150,12.250699999999997
151,12,151,12.332099999999997
152,9,152,12.413499999999997
153,9,153,12.494899999999998
154,11,154,12.576299999999998
155,14,155,12.657699999999997
156,12,156,12.739099999999997
157,6,157,12.820499999999997
158,9,158,12.901899999999998
159,4,159,12.983299999999996
160,11,160,13.064699999999997
161,15,161,13.146099999999997
162,13,162,13.227499999999997
163,10,163,13.308899999999998
164,8,164,13.390299999999996
165,11,165,13.471699999999997
166,6,166,13.553099999999997
167,13,167,13.634499999999997
168,5,168,13.715899999999998
169,8,169,13.797299999999996
170,10,170,13.878699999999997
171,12,171,13.960099999999997
172,9,172,14.041499999999997
173,10,173,14.122899999999998
174,9,174,14.204299999999996
175,3,175,14.285699999999997
176,8,176,14.367099999999997
177,6,177,14.448499999999997
178,8,178,14.529899999999996
179,11,179,14.611299999999996
180,8,180,14.692699999999997
181,4,181,14.774099999999997
182,11,182,14.855499999999997
183,9,183,14.936899999999996
184,7,184,15.018299999999996
185,6,185,15.099699999999997
186,7,186,15.181099999999997
187,4,187,15.262499999999998
188,3,188,15.343899999999996
189,6,189,15.425299999999996
190,12,190,15.506699999999997
191,3,191,15.588099999999997
192,6,192,15.669499999999998
193,7,193,15.750899999999996
194,6,194,15.832299999999996
195,7,195,15.913699999999997
196,2,196,15.995099999999997
197,1,197,16.0765
198,7,198,16.157899999999998
199,4,199,16.2393
200,2,200,16.3207
201,10,201,16.402099999999997
202,1,202,16.4835
203,9,203,16.564899999999998
204,3,204,16.646299999999997
205,4,205,16.7277
206,5,206,16.809099999999997
207,6,207,16.8905
208,9,208,16.971899999999998
209,8,209,17.053299999999997
210,1,210,17.1347
211,9,211,17.216099999999997
212,5,212,17.2975
213,8,213,17.378899999999998
214,3,214,17.460299999999997
215,0,215,17.5417
216,7,216,17.623099999999997
217,3,217,17.7045
218,4,218,17.785899999999998
219,5,219,17.867299999999997
220,5,220,17.9487
221,5,221,18.030099999999997
222,4,222,18.1115
223,4,223,18.192899999999998
224,5,224,18.274299999999997
225,9,225,18.3557
226,9,226,18.437099999999997
227,5,227,18.5185
228,7,228,18.599899999999998
229,2,229,18.681299999999997
230,4,230,18.7627
231,4,231,18.844099999999997
232,3,232,18.9255
233,6,233,19.006899999999998
234,1,234,19.088299999999997
235,2,235,19.1697
236,7,236,19.251099999999997
237,5,237,19.3325
238,3,238,19.413899999999998
239,3,239,19.495299999999997
240,10,240,19.5767
241,4,241,19.658099999999997
242,2,242,19.739499999999996
243,4,243,19.820899999999998
244,6,244,19.902299999999997
245,6,245,19.9837
246,1,246,20.065099999999997
247,4,247,20.146499999999996
248,2,248,20.227899999999998
249,1,249,20.309299999999997
250,5,250,20.3907
251,6,251,20.472099999999998
252,4,252,20.553499999999996
253,2,253,20.6349
254,2,254,20.716299999999997
255,383,255,20.7977
